,Choice_General,Choice: Charters,Equity_General,Equity_Funding,Equity_Instruction,Accountability_Performance,Accountability_Teachers,Accountability_TestScores,Standards_Leaders,Standards_Teachers,Standards_Readiness,Support_Funding,Support_Interventions,Support_External,Support_Families
Center_American_Progress,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
Center_for_Reinventing_Public_Education,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0
Data_Quality_Campaign,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Education_Resource_Strategies,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1
Foundation_for_Excellence_in_Education,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0
National_Alliance_for_Public_Charter_Schools,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1
National_Council_on_Teacher_Quality,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Education_Trust,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0
Fordham_Institute,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0
